Lat,Lon,Boya,Pixel
37.666817,-0.809683,0.9861,0.21449999842378828
37.659833,-0.781967,0.8029,0.15471110906865862
37.6518,-0.728883,0.5879,0.294977777534061
37.68735,-0.783783,0.8198,0.22103333307637107
37.8118,-0.784483,0.4374,0.023511111529337034
37.760617,-0.8078,0.5422,0.021077778190374374
37.761783,-0.78355,0.5865,0.020122222395406827
37.748233,-0.749617,0.8584,0.020344445067975257
37.74045,-0.727117,0.355,0.019566666955749195
37.710417,-0.778383,0.7756,0.020300000285108883
37.718,-0.839783,0.7151,0.022011110973027017
37.694517,-0.8104,0.8103,0.02064444435139497
37.666817,-0.809683,0.9191,0.023466666953431234
37.659833,-0.781967,0.8902,0.02448888888789548
37.6518,-0.728883,0.702,0.019355555582377646
37.68735,-0.783783,0.8159,0.021499999695354037
37.8118,-0.784483,1.1678,0.048577777627441615
37.760617,-0.8078,1.0683,0.04904444474312994
37.761783,-0.78355,0.9882,0.04584444479809867
37.748233,-0.749617,0.1735,0.03896666690707207
37.74045,-0.727117,0.3,0.0393111113872793
37.710417,-0.778383,0.8578,0.04603333357307646
37.718,-0.839783,1.0861,0.050888889365726046
37.694517,-0.8104,0.6625,0.04575555564628707
37.666817,-0.809683,0.2228,0.0538333331545194
37.659833,-0.781967,0.8262,0.05108888902597957
37.6518,-0.728883,0.9743,0.045244444575574666
37.68735,-0.783783,0.6789,0.050055555585357875
37.8118,-0.784483,0.1458,0.021377778094675805
37.760617,-0.8078,0.1603,0.019699999855624303
37.761783,-0.78355,0.9888,0.017388889152142737
37.748233,-0.749617,1.8043,0.017111111225353345
37.74045,-0.727117,0.84,0.01664444410966502
37.710417,-0.778383,3.7031,0.01756666683488422
37.718,-0.839783,2.584,0.02038888902299934
37.694517,-0.8104,2.5689,0.018277777979771297
37.666817,-0.809683,1.4754,0.018977777825461492
37.659833,-0.781967,0.5659,0.017855555853909917
37.6518,-0.728883,0.8689,0.019744444638490677
37.68735,-0.783783,2.8386,0.016733333468437195
37.8118,-0.784483,1.2201,0.040122222155332565
37.760617,-0.8078,1.9654,0.043477777391672134
37.761783,-0.78355,1.9562,0.04583333349890179
37.748233,-0.749617,2.0284,0.03824444446298811
37.74045,-0.727117,0.415,0.03784444431463877
37.710417,-0.778383,2.5606,0.04321111117800077
37.718,-0.839783,4.1182,0.048211110962761775
37.694517,-0.8104,2.5713,0.04358888872795635
37.666817,-0.809683,2.283,0.04761111115415891
37.659833,-0.781967,3.021,0.04689999959535069
37.6518,-0.728883,3.5136,0.03728888928890228
37.68735,-0.783783,2.5403,0.04692222260766559
37.8118,-0.784483,0.6798,0.046011110974682704
37.760617,-0.8078,0.9229,0.04164444448219405
37.761783,-0.78355,1.6864,0.035988888806766935
37.748233,-0.749617,1.9823,0.03525555589132839
37.74045,-0.727117,1.71,0.03676666650507185
37.710417,-0.778383,1.1635,0.0344666660659843
37.718,-0.839783,0.7905,0.03992222208115789
37.694517,-0.8104,1.0737,0.03883333338631524
37.666817,-0.809683,1.2234,0.04357777825660176
37.659833,-0.781967,1.2338,0.03718888842397266
37.6518,-0.728883,0.6441,0.040400000082121953
37.68735,-0.783783,1.0968,0.03396666712231106
37.74045,-0.727117,0.87,0.0307666663494375
37.8118,-0.784483,0.2406,0.06768888980150223
37.760617,-0.8078,0.489,0.06411111023690966
37.761783,-0.78355,0.3895,0.06323333374328083
37.748233,-0.749617,0.2516,0.056411111934317484
37.74045,-0.727117,0.215,0.06451111038525899
37.710417,-0.778383,0.4122,0.05132222258382373
37.718,-0.839783,0.697,0.06642222321695751
37.694517,-0.8104,0.657,0.06215555593371391
37.666817,-0.809683,0.5677,0.06683333466450374
37.659833,-0.781967,0.3918,0.15181111047665277
37.6518,-0.728883,0.2203,0.06854444493850072
37.68735,-0.783783,0.5538,0.09551111112038295
37.8118,-0.784483,0.9452,0.020922221864263218
37.760617,-0.8078,0.9442,0.01936666646765338
37.761783,-0.78355,0.9192,0.018511111123694315
37.748233,-0.749617,0.8559,0.01934444449014134
37.74045,-0.727117,0.29,0.019088888333903417
37.710417,-0.778383,0.8435,0.018588888976309035
37.718,-0.839783,0.9212,0.020966666233208444
37.694517,-0.8104,0.8697,0.01997777736849255
37.666817,-0.809683,0.7375,0.02084444442556964
37.659833,-0.781967,0.873,0.019444444527228672
37.6518,-0.728883,0.851,0.01807777749167548
37.68735,-0.783783,0.8229,0.01850000023841858
37.8118,-0.784483,0.3136,0.041033332960473165
37.760617,-0.8078,0.2491,0.036022221876515284
37.761783,-0.78355,0.3375,0.03172222235136562
37.748233,-0.749617,0.189,0.03478888960348235
37.74045,-0.727117,0.29,0.0330333337187767
37.710417,-0.778383,0.2664,0.03152222207023038
37.718,-0.839783,0.1206,0.036400000668234296
37.694517,-0.8104,0.3591,0.031733333236641355
37.666817,-0.809683,0.0826,0.03716666665342119
37.659833,-0.781967,0.3444,0.03198888897895813
37.6518,-0.728883,0.3727,0.032755555791987315
37.68735,-0.783783,0.3484,0.030300000061591465
37.8118,-0.784483,5.9883,0.06475555648406346
37.760617,-0.8078,19.7821,0.03685555565688345
37.761783,-0.78355,7.4912,0.05555555555555555
37.748233,-0.749617,1.1456,0.26225555936495465
37.74045,-0.727117,1.15,0.05702222304211722
37.710417,-0.778383,15.5208,0.20603333082464007
37.718,-0.839783,11.3623,0.04845555540588167
37.694517,-0.8104,18.3286,0.14327778087721932
37.666817,-0.809683,13.4759,0.02587777790096071
37.659833,-0.781967,11.346,0.05040000047948626
37.6518,-0.728883,8.0193,0.04514444453848733
37.68735,-0.783783,17.0998,0.2395444479253557
37.8118,-0.784483,0.3116,0.1065666667289204
37.760617,-0.8078,1.1628,0.3928888903723823
37.761783,-0.78355,0.7534,0.1979999972714318
37.748233,-0.749617,0.5489,0.08981111066208945
37.74045,-0.727117,0.41,0.08687777817249298
37.710417,-0.778383,0.6753,0.7432888944943746
37.718,-0.839783,1.2238,0.2560666650533676
37.694517,-0.8104,0.5518,0.1437999995218383
37.666817,-0.809683,0.1154,0.2561333345042335
37.659833,-0.781967,0.5026,0.428233328792784
37.6518,-0.728883,0.6139,0.09793333378103045
37.68735,-0.783783,0.7138,0.48622222079171074
37.8118,-0.784483,0.249,0.033644443998734154
37.760617,-0.8078,0.3891,0.03147777770128515
37.761783,-0.78355,0.3907,0.024200000075830355
37.748233,-0.749617,0.3806,0.02804444461233086
37.74045,-0.727117,0.19,0.025744444587164454
37.710417,-0.778383,0.4878,0.025977777938048046
37.718,-0.839783,0.4338,0.03415555548336771
37.694517,-0.8104,0.5202,0.03392222233944469
37.666817,-0.809683,0.5263,0.03926666701833407
37.659833,-0.781967,0.4958,0.03763333376910952
37.6518,-0.728883,0.5046,0.03702222224738863
37.68735,-0.783783,0.507,0.03073333307272858
37.8118,-0.784483,0.2175,0.03925555654697948
37.760617,-0.8078,0.2612,0.03883333338631524
37.761783,-0.78355,0.289,0.04092222245203124
37.748233,-0.749617,0.3219,0.043922222736808986
37.74045,-0.727117,0.24,0.046000000503328115
37.710417,-0.778383,0.3745,0.04459999998410543
37.718,-0.839783,0.2053,0.030322222039103508
37.694517,-0.8104,0.3759,0.037444444166289434
37.666817,-0.809683,0.2147,0.039822222457991704
37.659833,-0.781967,0.1073,0.04144444399409824
37.6518,-0.728883,0.206,0.040911110738913216
37.68735,-0.783783,0.2733,0.04572222216261758
37.8118,-0.784483,0.4307,0.03763333335518837
37.760617,-0.8078,0.5751,0.03545555513766077
37.761783,-0.78355,0.3669,0.031855555458201304
37.748233,-0.749617,0.3287,0.02439999994304445
37.710417,-0.778383,0.3468,0.03192222242554029
37.718,-0.839783,0.9496,0.039188888751798205
37.694517,-0.8104,0.5869,0.03337777861290508
37.666817,-0.809683,0.5747,0.0310111107925574
