Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Chl
2021-07-14,CTD11,4169608.9781368254,700350.5509754587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693428295
2021-07-14,CTD12,4173437.93021035,695413.5305598581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2528288575
2021-08-03,CTD1,4187246.4763657423,695024.7116773892,0.011029545,0.01749639,0.026286284,0.009160323,0.0077217906,0.0022426909,0.0021952824,0.00087335537,0.010922329,0.017330116,0.026318263,0.009101307,0.0074197645,0.0022429768,0.31436682,-0.0,0.5125386900000001
2021-08-03,CTD2,4181518.346026066,693105.1561410306,0.012949312,0.016366005,0.020298429,0.008405943,0.006905878,0.0020628688,0.0020071387,0.00080813735,0.01285253,0.016301706,0.020118425,0.0082634175,0.006717092,0.0020293137,0.29429922,-0.0,1.1759747999999999
2021-08-03,CTD3,4181698.0921413857,695238.4758410116,0.00554913,0.011680631,0.01636448,0.0036245415,0.0021993662,0.00059343944,0.0005807853,0.00023083677,0.0055341376,0.011845482,0.016310053,0.0035859228,0.002347701,0.0005792191,0.00054106244,-0.0,1.5983045624999999
2021-08-03,CTD4,4180265.85759629,698264.0657476727,0.017688133,0.022904778,0.031095583,0.013238954,0.012113063,0.003614718,0.0035019838,0.0013759594,0.017272763,0.022714557,0.031206014,0.013056215,0.01122017,0.0035582003,0.5022068,-0.0,2.3607603375
2021-08-03,CTD6,4176008.900458722,695829.0091863506,0.008155488,0.012893108,0.020108746,0.007799327,0.0063064466,0.0018073373,0.0017669959,0.0007030724,0.008153671,0.012797276,0.020099478,0.0078032906,0.0062083267,0.0018124533,0.31869197,-0.0,3.5666522375
2021-08-03,CTD7,4176723.693900513,690396.7024300082,0.007940671,0.019736173,0.050710388,0.025141036,0.021401802,0.005662306,0.005515655,0.0020668032,0.007796387,0.020023549,0.05113212,0.02485013,0.020762645,0.0060103014,0.33653608,-0.0,6.243331057142858
2021-08-03,CTD8,4174178.030118922,693047.7091175154,0.0038201122,0.010159709,0.024511851,0.0075746975,0.005509576,0.0014115816,0.0013689686,0.00053862383,0.003785718,0.01039094,0.024697088,0.007590498,0.00548449,0.0014416294,0.085270055,-0.0,3.9609315749999996
2021-08-03,CTD10,4170388.237872792,695645.9552495586,0.0028404198,0.007935824,0.022945601,0.010596064,0.008311764,0.002203353,0.0021402612,0.0008206045,0.002820521,0.008148516,0.023529362,0.010631629,0.00820573,0.002303884,0.1156126,-0.0,5.7125007285714275
2021-08-03,CTD11,4169608.9781368254,700350.5509754587,0.0018854659,0.0047202557,0.012560035,0.006059314,0.0047583873,0.0013449345,0.001309352,0.0005189836,0.0018884878,0.0047515053,0.0128104,0.0061224718,0.0047595305,0.0013706743,0.15152173,-0.0,5.290434383333333
2021-08-03,CTD12,4173437.93021035,695413.5305598581,0.0076828743,0.01079258,0.014718497,0.006481308,0.0052972245,0.0016334481,0.0016013046,0.00065034605,0.007736235,0.0107468115,0.014574518,0.006400023,0.005279598,0.0016253928,0.28145197,-0.0,4.065272150000001
2021-08-13,CTD1,4187246.4763657423,695024.7116773892,0.0025351383,0.0066309297,0.017448405,0.008548934,0.0070875892,0.002059828,0.0020081382,0.00078625773,0.002528377,0.006711373,0.017865947,0.008646885,0.0070313653,0.0021245033,0.17378588,-0.0,1.9763367000000003
