Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
2018-02-20,CTD9,4171106,693183,0.015737105,0.027962744,0.055959728,0.027438369,0.022528183,0.0061694714,0.005993894,0.002270013,0.015596247,0.028159061,0.05648231,0.027525341,0.022204163,0.0063467133,0.49233943,0.0
2018-02-20,CTD10,4170388,695646,0.012189527,0.021777088,0.035623148,0.012811683,0.010811035,0.0030483785,0.0029790534,0.0011685457,0.011991987,0.021653382,0.035879534,0.012860364,0.010399431,0.0030132455,0.3048789,0.0
2018-02-20,CTD11,4169609,700351,0.0076496624,0.016740121,0.03091567,0.009122757,0.0062676165,0.0016830923,0.0016440478,0.0006527466,0.007555902,0.016807761,0.03093743,0.008992451,0.006467545,0.0016863806,0.10511455,0.0
2018-02-20,CTD12,4173438,695414,0.004166146,0.011641922,0.022394953,0.006720011,0.004762588,0.0012796664,0.0012419521,0.000492831,0.004108429,0.012069691,0.022414073,0.006711551,0.0048689223,0.0012619413,0.001977922,0.0
2018-03-07,CTD1,4187246,695025,0.017909424,0.03126972,0.054815482,0.018792946,0.0142789455,0.0037539778,0.0035960947,0.0013766808,0.017747067,0.031386103,0.05492166,0.01879428,0.014017065,0.0036319369,0.3139577,0.0
2018-03-07,CTD2,4181518,693105,0.0107511245,0.019838875,0.034690645,0.010939508,0.008406844,0.0023189061,0.0022438774,0.0008863631,0.010602356,0.019839609,0.03473951,0.01092011,0.008401181,0.0022616999,0.21111435,0.0
2018-03-07,CTD3,4181698,695238,0.017900717,0.028557817,0.046229172,0.015668746,0.012759563,0.0035885072,0.0034831031,0.0013580432,0.01755132,0.02847933,0.046642214,0.015613674,0.01231506,0.0035359391,0.35872072,0.0
2018-03-07,CTD4,4180266,698264,0.0125810085,0.023407094,0.04064786,0.013471162,0.009774736,0.0026789121,0.0025892311,0.0010194377,0.012410091,0.023485078,0.040711813,0.01340635,0.009900394,0.0026067654,0.20329213,0.0
2018-03-07,CTD5,4179450,700268,0.014546054,0.02578136,0.03678639,0.007559125,0.005142795,0.0013331707,0.0012996795,0.0005040177,0.0144857485,0.025744103,0.036913745,0.007600636,0.0052585355,0.0013202576,0.15246318,0.0
2018-03-07,CTD6,4176009,695829,0.007788034,0.016415851,0.028370418,0.007876755,0.005509576,0.0015035655,0.0014687738,0.000584524,0.007708607,0.01639286,0.028363341,0.007863163,0.0056453324,0.0014868715,0.12745821,0.0
2018-03-07,CTD7,4176724,690397,0.0084749805,0.017989038,0.030166531,0.007460218,0.0050527644,0.0013574684,0.0013243277,0.0005255381,0.008383005,0.018113611,0.03016834,0.0074497927,0.0052223327,0.001343638,0.10511455,0.0
2018-03-07,CTD8,4174178,693048,0.0091250185,0.018742645,0.032464463,0.008316496,0.005799156,0.0015907458,0.001558143,0.0006241997,0.009037634,0.018967876,0.03231617,0.00831534,0.0058838734,0.0015868911,0.11384914,0.0
2018-03-07,CTD9,4171106,693183,0.018079717,0.031315602,0.058314748,0.022279454,0.017170737,0.004579803,0.0043843254,0.0016571558,0.017918346,0.031441297,0.058348343,0.022180842,0.017185617,0.0045064134,0.3352322,0.0
2018-03-07,CTD10,4170388,695646,0.0063214917,0.013979689,0.0245594,0.0073353904,0.0051473384,0.0014171139,0.0013901455,0.00055932766,0.006267504,0.014125325,0.024577498,0.0073015695,0.005293041,0.0014132985,0.088775374,0.0
2018-03-07,CTD11,4169609,700351,0.009130483,0.018363299,0.032171693,0.010483906,0.007584046,0.0021235887,0.002073151,0.00082931493,0.009019261,0.018449968,0.032187313,0.010425083,0.007756195,0.0020907538,0.17810516,0.0
