Time Interval,Date,Buoy,Latitude,Longitude,Row,Col,Pixel_Value
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-8,37.694517,-0.8104,1444,479,10.731462
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-9,37.666817,-0.809683,1756,485,
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-10,37.659833,-0.781967,1834,720,10.90552
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-11,37.6518,-0.728883,1925,1169,7.632306
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-12,37.68735,-0.783783,1525,704,7.659242
"('2021-03-17', '2021-03-21')",2021-03-21,CTD-1,37.8118,-0.784483,123,698,
"('2021-03-17', '2021-03-21')",2021-03-21,CTD-2,37.760617,-0.8078,700,501,5.299408
"('2021-03-17', '2021-03-21')",2021-03-21,CTD-3,37.761783,-0.78355,687,706,4.6171775
"('2021-03-17', '2021-03-21')",2021-03-21,CTD-4,37.748233,-0.749617,839,994,17.97024
"('2021-03-17', '2021-03-21')",2021-03-21,CTD-5,37.74045,-0.727117,927,1184,4.4996576
"('2021-03-17', '2021-03-21')",2021-03-21,CTD-6,37.710417,-0.778383,1265,750,6.249523
"('2021-03-17', '2021-03-21')",2021-03-21,CTD-7,37.718,-0.839783,1179,230,4.5045166
"('2021-03-17', '2021-03-21')",2021-03-21,CTD-8,37.694517,-0.8104,1444,479,5.210686
"('2021-03-17', '2021-03-21')",2021-03-21,CTD-9,37.666817,-0.809683,1756,485,6.522535
"('2021-03-17', '2021-03-21')",2021-03-21,CTD-10,37.659833,-0.781967,1834,720,4.7799683
"('2021-03-17', '2021-03-21')",2021-03-21,CTD-11,37.6518,-0.728883,1925,1169,10.428069
"('2021-03-17', '2021-03-21')",2021-03-21,CTD-12,37.68735,-0.783783,1525,704,5.6640286
"('2021-03-22', '2021-03-26')",2021-03-26,CTD-1,37.8118,-0.784483,123,698,17.776432
"('2021-03-22', '2021-03-26')",2021-03-26,CTD-2,37.760617,-0.8078,700,501,15.696558
"('2021-03-22', '2021-03-26')",2021-03-26,CTD-3,37.761783,-0.78355,687,706,16.422386
"('2021-03-22', '2021-03-26')",2021-03-26,CTD-4,37.748233,-0.749617,839,994,15.992995
"('2021-03-22', '2021-03-26')",2021-03-26,CTD-5,37.74045,-0.727117,927,1184,15.355818
"('2021-03-22', '2021-03-26')",2021-03-26,CTD-6,37.710417,-0.778383,1265,750,16.201687
"('2021-03-22', '2021-03-26')",2021-03-26,CTD-7,37.718,-0.839783,1179,230,
"('2021-03-22', '2021-03-26')",2021-03-26,CTD-8,37.694517,-0.8104,1444,479,17.108221
"('2021-03-22', '2021-03-26')",2021-03-26,CTD-9,37.666817,-0.809683,1756,485,16.901705
"('2021-03-22', '2021-03-26')",2021-03-26,CTD-10,37.659833,-0.781967,1834,720,16.558449
"('2021-03-22', '2021-03-26')",2021-03-26,CTD-11,37.6518,-0.728883,1925,1169,16.340218
"('2021-03-22', '2021-03-26')",2021-03-26,CTD-12,37.68735,-0.783783,1525,704,15.303648
"('2021-03-27', '2021-03-31')",2021-03-31,CTD-1,37.8118,-0.784483,123,698,9.540117
"('2021-03-27', '2021-03-31')",2021-03-31,CTD-2,37.760617,-0.8078,700,501,15.380019
"('2021-03-27', '2021-03-31')",2021-03-31,CTD-3,37.761783,-0.78355,687,706,14.801632
"('2021-03-27', '2021-03-31')",2021-03-31,CTD-4,37.748233,-0.749617,839,994,16.02099
"('2021-03-27', '2021-03-31')",2021-03-31,CTD-5,37.74045,-0.727117,927,1184,14.592683
"('2021-03-27', '2021-03-31')",2021-03-31,CTD-6,37.710417,-0.778383,1265,750,13.311706
"('2021-03-27', '2021-03-31')",2021-03-31,CTD-7,37.718,-0.839783,1179,230,13.849658
"('2021-03-27', '2021-03-31')",2021-03-31,CTD-8,37.694517,-0.8104,1444,479,15.265803
"('2021-03-27', '2021-03-31')",2021-03-31,CTD-9,37.666817,-0.809683,1756,485,15.329477
"('2021-03-27', '2021-03-31')",2021-03-31,CTD-10,37.659833,-0.781967,1834,720,11.535219
"('2021-03-27', '2021-03-31')",2021-03-31,CTD-11,37.6518,-0.728883,1925,1169,15.728038
"('2021-03-27', '2021-03-31')",2021-03-31,CTD-12,37.68735,-0.783783,1525,704,16.108326
"('2021-04-01', '2021-04-05')",2021-04-05,CTD-1,37.8118,-0.784483,123,698,14.526126
"('2021-04-01', '2021-04-05')",2021-04-05,CTD-2,37.760617,-0.8078,700,501,15.409763
"('2021-04-01', '2021-04-05')",2021-04-05,CTD-3,37.761783,-0.78355,687,706,11.300754
"('2021-04-01', '2021-04-05')",2021-04-05,CTD-4,37.748233,-0.749617,839,994,8.46246
"('2021-04-01', '2021-04-05')",2021-04-05,CTD-5,37.74045,-0.727117,927,1184,
"('2021-04-01', '2021-04-05')",2021-04-05,CTD-6,37.710417,-0.778383,1265,750,12.12626
"('2021-04-01', '2021-04-05')",2021-04-05,CTD-7,37.718,-0.839783,1179,230,11.349288
"('2021-04-01', '2021-04-05')",2021-04-05,CTD-8,37.694517,-0.8104,1444,479,12.716081
"('2021-04-01', '2021-04-05')",2021-04-05,CTD-9,37.666817,-0.809683,1756,485,7.738885
"('2021-04-01', '2021-04-05')",2021-04-05,CTD-10,37.659833,-0.781967,1834,720,11.749528
"('2021-04-01', '2021-04-05')",2021-04-05,CTD-11,37.6518,-0.728883,1925,1169,15.97634
"('2021-04-01', '2021-04-05')",2021-04-05,CTD-12,37.68735,-0.783783,1525,704,10.701238
"('2021-04-06', '2021-04-10')",2021-04-10,CTD-1,37.8118,-0.784483,123,698,17.51641
"('2021-04-06', '2021-04-10')",2021-04-10,CTD-2,37.760617,-0.8078,700,501,16.8381
"('2021-04-06', '2021-04-10')",2021-04-10,CTD-3,37.761783,-0.78355,687,706,16.879412
"('2021-04-06', '2021-04-10')",2021-04-10,CTD-4,37.748233,-0.749617,839,994,16.374178
"('2021-04-06', '2021-04-10')",2021-04-10,CTD-5,37.74045,-0.727117,927,1184,16.718904
"('2021-04-06', '2021-04-10')",2021-04-10,CTD-6,37.710417,-0.778383,1265,750,16.591745
"('2021-04-06', '2021-04-10')",2021-04-10,CTD-7,37.718,-0.839783,1179,230,16.217257
"('2021-04-06', '2021-04-10')",2021-04-10,CTD-8,37.694517,-0.8104,1444,479,16.4327
"('2021-04-06', '2021-04-10')",2021-04-10,CTD-9,37.666817,-0.809683,1756,485,15.992845
"('2021-04-06', '2021-04-10')",2021-04-10,CTD-10,37.659833,-0.781967,1834,720,15.217619
"('2021-04-06', '2021-04-10')",2021-04-10,CTD-11,37.6518,-0.728883,1925,1169,16.312576
"('2021-04-06', '2021-04-10')",2021-04-10,CTD-12,37.68735,-0.783783,1525,704,16.624325
"('2021-04-11', '2021-04-15')",2021-04-15,CTD-1,37.8118,-0.784483,123,698,
"('2021-04-11', '2021-04-15')",2021-04-15,CTD-2,37.760617,-0.8078,700,501,
"('2021-04-11', '2021-04-15')",2021-04-15,CTD-3,37.761783,-0.78355,687,706,
"('2021-04-11', '2021-04-15')",2021-04-15,CTD-4,37.748233,-0.749617,839,994,
"('2021-04-11', '2021-04-15')",2021-04-15,CTD-5,37.74045,-0.727117,927,1184,
"('2021-04-11', '2021-04-15')",2021-04-15,CTD-6,37.710417,-0.778383,1265,750,
"('2021-04-11', '2021-04-15')",2021-04-15,CTD-7,37.718,-0.839783,1179,230,
